"id","drug_id","model_id","response_type","value","tissue_id","patient_id","dataset_id","patient","drug_name","standard_name","targets","treatment_type","class","class_name","source","batch_id","type","model","link","row"
"1883","70","M5.1.F45","mRECIST","PD","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","5"
"1883","70","M5.1.F45","best.average.response","42.9057","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","5"
"1883","70","M5.1.F45","slope","86.3458","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","5"
"1883","70","M5.1.F45","AUC","460.8291","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","5"
"1883","70","M5.1.F45","survival","34.0000","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F45","https://docs.google.com/spreadsheets/d/1AkZRTh56dRGkujMb4IEJJqGMNdrBkX_qPgfIN2olM0Q/edit?usp=drivesdk","5"
"1884","70","M5.1.F57","mRECIST","SD","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","5"
"1884","70","M5.1.F57","best.average.response","5.7724","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","5"
"1884","70","M5.1.F57","slope","86.2563","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","5"
"1884","70","M5.1.F57","AUC","363.8805","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","5"
"1884","70","M5.1.F57","survival","30.0000","1","55","7","47904","WATER","","","","","","","319","control","M5.1.F57","https://docs.google.com/spreadsheets/d/1t83UOHDmGRSoMs5wJgPPifmj3AEmo9-IhgzEnbOHPNw/edit?usp=drivesdk","5"
